date,description,amount
2026-06-02,STARBUCKS #1234,-5.75
2026-06-03,UBER TRIP,-14.20
2026-06-04,WHOLE FOODS MARKET,-62.13
2026-06-05,PAYCHECK DEPOSIT,2500.00
2026-06-06,NETFLIX.COM,-15.49
2026-06-07,SHELL OIL,-40.00
2026-06-09,STARBUCKS #1234,-6.10
2026-06-10,AMAZON.COM,-33.99
2026-06-11,TRADER JOES,-48.60
2026-06-12,UBER EATS,-22.35
2026-06-15,GYM MEMBERSHIP,-29.99
2026-06-18,SPOTIFY,-10.99
2026-06-20,TARGET,-56.40
2026-06-22,UBER TRIP,-9.80
2026-06-25,WHOLE FOODS MARKET,-71.02
2026-07-01,PAYCHECK DEPOSIT,2500.00
2026-07-02,STARBUCKS #1234,-5.75
2026-07-03,SHELL OIL,-38.50
2026-07-05,NETFLIX.COM,-15.49
2026-07-08,TRADER JOES,-52.10
2026-07-09,UBER EATS,-19.75
2026-07-12,AMAZON.COM,-89.20
2026-07-15,GYM MEMBERSHIP,-29.99
2026-07-18,SPOTIFY,-10.99
2026-07-20,TARGET,-41.30
2026-07-23,WHOLE FOODS MARKET,-58.90
2026-07-28,UBER TRIP,-16.40
2026-08-01,PAYCHECK DEPOSIT,2500.00
2026-08-03,STARBUCKS #1234,-6.25
2026-08-04,SHELL OIL,-42.10
2026-08-06,NETFLIX.COM,-15.49
2026-08-09,TRADER JOES,-49.80
2026-08-11,UBER EATS,-25.60
2026-08-14,AMAZON.COM,-27.50
2026-08-15,GYM MEMBERSHIP,-29.99
2026-08-18,SPOTIFY,-10.99
2026-08-21,TARGET,-63.75
2026-08-24,WHOLE FOODS MARKET,-67.40
2026-08-27,UBER TRIP,-11.90
